"","parameter","index","simulation_value","IQR_min","IQR50_lower","IQR50_upper","mean","median","sd","n_series","n_observations","mean_IQR","mean_sd","model"
"816","alpha","1",2.46706760601525,0.9,1.01442775149961,1.86534929798261,1.47561641912554,1.42830428486023,0.616376469006074,20,5,0.5,0.664530784574087,"partially"
"817","alpha","2",1.88067989230575,0.17,1.67335737828666,2.36761991945351,2.08267201058113,1.99025921343199,0.631694210407469,20,5,0.5,0.664530784574087,"partially"
"818","alpha","3",2.46723896176551,0.62,1.62343972980121,2.35161786261813,2.04414013629652,1.97247382703229,0.627244553915549,20,5,0.5,0.664530784574087,"partially"
"819","alpha","4",2.49813556443591,0.3,2.31928957961966,3.3925205966016,2.94990923188381,2.78335988131231,0.840475384608344,20,5,0.5,0.664530784574087,"partially"
"820","alpha","5",2.8949372005404,0.83,1.57565408670828,2.29845462550959,2.00080679950643,1.90706652246033,0.671737613630645,20,5,0.5,0.664530784574087,"partially"
"821","alpha","6",2.27915199641374,0.83,1.0928283128936,1.86974166788991,1.51260641664556,1.43417097906815,0.56248547726067,20,5,0.5,0.664530784574087,"partially"
"822","alpha","7",3.00786575031424,0.41,2.16963242995944,3.14684715671695,2.74133546562492,2.56427651338934,0.81452986318806,20,5,0.5,0.664530784574087,"partially"
"823","alpha","8",3.18985338378285,0.6,2.08090312393824,3.02013459420573,2.64367340609144,2.46031217202725,0.801949819558719,20,5,0.5,0.664530784574087,"partially"
"824","alpha","9",1.27562578163003,0.8,1.54103273667356,2.33957498553043,1.99539214327692,1.90906010576659,0.653303211577591,20,5,0.5,0.664530784574087,"partially"
"825","alpha","10",2.16798377234888,0.07,1.79466317233342,2.5517568326615,2.24127043016261,2.13141250257776,0.668976174547671,20,5,0.5,0.664530784574087,"partially"
"826","alpha","11",2.92033515858084,0.49,1.98527126847659,2.95378120576262,2.53768564515929,2.3657912404827,0.802820929218204,20,5,0.5,0.664530784574087,"partially"
"827","alpha","12",0.328395187977081,0.93,0.70639758292769,1.63272476020982,1.19742136010897,1.10085543455498,0.609552147246285,20,5,0.5,0.664530784574087,"partially"
"828","alpha","13",2.44846906961431,0.48,1.75825988674374,2.4753546489523,2.1858148958712,2.08542576084031,0.646440764247206,20,5,0.5,0.664530784574087,"partially"
"829","alpha","14",2.48245880985877,0.18,2.01767664274487,2.80373754085973,2.49243749023681,2.35226674863746,0.695731639197901,20,5,0.5,0.664530784574087,"partially"
"830","alpha","15",2.758213782399,0.54,1.95074503419989,2.72238557627951,2.41016973914872,2.26553317909409,0.669051782562711,20,5,0.5,0.664530784574087,"partially"
"831","alpha","16",1.54049521980385,0.21,1.01232833698696,1.82202868036314,1.44537966501809,1.35394208765814,0.550033833609011,20,5,0.5,0.664530784574087,"partially"
"832","alpha","17",0.894616333020729,0.44,0.851594882394341,1.7234887630421,1.30733627359863,1.20050072376584,0.582827889918987,20,5,0.5,0.664530784574087,"partially"
"833","alpha","18",2.4029282734063,0.57,1.60789085566938,2.33714395075019,2.03520046483625,1.94522675353196,0.62501614456861,20,5,0.5,0.664530784574087,"partially"
"834","alpha","19",2.56893491784405,0.5,1.85288799847595,2.58047271263412,2.27065380389266,2.14232279235756,0.628030074897797,20,5,0.5,0.664530784574087,"partially"
"835","alpha","20",1.29391671757039,0.13,0.825770928639402,1.70459985879373,1.28390354025908,1.17751413633416,0.59233770831423,20,5,0.5,0.664530784574087,"partially"
"836","sigma","1",0.25,0.06,0.122229968444849,0.363659537326769,0.252501194038912,0.239178534945441,0.159471372326399,20,5,0.06,0.159471372326399,"partially"
"837","sigma","2",0.25,0.06,0.122229968444849,0.363659537326769,0.252501194038912,0.239178534945441,0.159471372326399,20,5,0.06,0.159471372326399,"partially"
"838","sigma","3",0.25,0.06,0.122229968444849,0.363659537326769,0.252501194038912,0.239178534945441,0.159471372326399,20,5,0.06,0.159471372326399,"partially"
"839","sigma","4",0.25,0.06,0.122229968444849,0.363659537326769,0.252501194038912,0.239178534945441,0.159471372326399,20,5,0.06,0.159471372326399,"partially"
