"","parameter","index","simulation_value","IQR","n_series","n_observations","mean_IQR","model"
"5731","lambda","6",0.797110067148785,0.11,25,30,0.5132,"non_pooled"
"5732","lambda","7",0.457942078083968,0.24,25,30,0.5132,"non_pooled"
"5733","lambda","8",0.521268745656858,0.47,25,30,0.5132,"non_pooled"
"5734","lambda","9",0.724749743959567,0.67,25,30,0.5132,"non_pooled"
"5735","lambda","10",0.602752351615199,0.1,25,30,0.5132,"non_pooled"
"5736","lambda","11",0.771325459496845,0.53,25,30,0.5132,"non_pooled"
"5737","lambda","12",0.453858985248819,0.66,25,30,0.5132,"non_pooled"
"5738","lambda","13",0.51687888575751,0.53,25,30,0.5132,"non_pooled"
"5739","lambda","14",0.473574458659932,0.36,25,30,0.5132,"non_pooled"
"5740","lambda","15",0.546067056044692,0.57,25,30,0.5132,"non_pooled"
"5741","lambda","16",0.434456643748266,0.74,25,30,0.5132,"non_pooled"
"5742","lambda","17",0.556691752367808,0.52,25,30,0.5132,"non_pooled"
"5743","lambda","18",0.545029261199035,0.59,25,30,0.5132,"non_pooled"
"5744","lambda","19",0.372638679580432,0.08,25,30,0.5132,"non_pooled"
"5745","lambda","20",0.375298680774275,0.13,25,30,0.5132,"non_pooled"
"5746","lambda","21",0.51597428749479,0.64,25,30,0.5132,"non_pooled"
"5747","lambda","22",0.386472373638587,0.66,25,30,0.5132,"non_pooled"
"5748","lambda","23",0.328795559645665,0.86,25,30,0.5132,"non_pooled"
"5749","lambda","24",0.422646397695139,0.69,25,30,0.5132,"non_pooled"
"5750","lambda","25",0.358625002286746,0.82,25,30,0.5132,"non_pooled"
"5751","sigma","1",0.301307102635705,0.79,25,30,0.5904,"non_pooled"
"5752","sigma","2",0.190010359404806,0.47,25,30,0.5904,"non_pooled"
"5753","sigma","3",0.296607562672903,0.26,25,30,0.5904,"non_pooled"
"5754","sigma","4",0.187499058428743,0.57,25,30,0.5904,"non_pooled"
"5755","sigma","5",0.382408603538425,0.04,25,30,0.5904,"non_pooled"
"5756","sigma","6",0.348087385815283,0.84,25,30,0.5904,"non_pooled"
"5757","sigma","7",0.221152889866682,0.54,25,30,0.5904,"non_pooled"
"5758","sigma","8",0.108069825867748,0.94,25,30,0.5904,"non_pooled"
"5759","sigma","9",0.211473437039084,0.57,25,30,0.5904,"non_pooled"
"5760","sigma","10",0.258380484018619,0.95,25,30,0.5904,"non_pooled"
"5761","sigma","11",0.129962274640463,0.19,25,30,0.5904,"non_pooled"
"5762","sigma","12",0.0766185401387008,0.66,25,30,0.5904,"non_pooled"
"5763","sigma","13",0.381254829673759,0.67,25,30,0.5904,"non_pooled"
"5764","sigma","14",0.0472202227491014,0.81,25,30,0.5904,"non_pooled"
"5765","sigma","15",-0.016108976121827,1,25,30,0.5904,"non_pooled"
"5766","sigma","16",0.131985965469342,0.48,25,30,0.5904,"non_pooled"
"5767","sigma","17",0.274754207725324,0.68,25,30,0.5904,"non_pooled"
"5768","sigma","18",0.0150623155235065,0.23,25,30,0.5904,"non_pooled"
"5769","sigma","19",0.0849285438335698,0.04,25,30,0.5904,"non_pooled"
"5770","sigma","20",0.317705694040295,0.45,25,30,0.5904,"non_pooled"
"5771","sigma","21",0.170848147314517,0.13,25,30,0.5904,"non_pooled"
"5772","sigma","22",0.121433438779324,0.7,25,30,0.5904,"non_pooled"
"5773","sigma","23",0.34785345973563,0.91,25,30,0.5904,"non_pooled"
"5774","sigma","24",0.191599756044157,0.95,25,30,0.5904,"non_pooled"
"5775","sigma","25",0.127454122788658,0.89,25,30,0.5904,"non_pooled"
"5776","mu","1",0.313671671271165,0.04,25,30,0.4432,"partially"
"5777","mu","2",-0.498112030771815,0.56,25,30,0.4432,"partially"
"5778","mu","3",-0.0842910714760762,0.84,25,30,0.4432,"partially"
"5779","mu","4",0.0960147025744304,0.16,25,30,0.4432,"partially"
"5780","mu","5",0.110735833205495,0.7,25,30,0.4432,"partially"
"5781","mu","6",-0.294570628781325,0.64,25,30,0.4432,"partially"
"5782","mu","7",0.162030233750351,0.41,25,30,0.4432,"partially"
"5783","mu","8",0.164570576195921,0.6,25,30,0.4432,"partially"
"5784","mu","9",0.0728855820083222,0.31,25,30,0.4432,"partially"
"5785","mu","10",0.0732764351233678,0.42,25,30,0.4432,"partially"
"5786","mu","11",0.0325737947675647,0.86,25,30,0.4432,"partially"
"5787","mu","12",0.109850020466239,0.55,25,30,0.4432,"partially"
"5788","mu","13",0.0243638561456931,0.86,25,30,0.4432,"partially"
"5789","mu","14",-0.334132343176516,0.02,25,30,0.4432,"partially"
"5790","mu","15",0.136513562336124,0.24,25,30,0.4432,"partially"
"5791","mu","16",-0.125660404353016,0.35,25,30,0.4432,"partially"
"5792","mu","17",0.455836673969612,0.77,25,30,0.4432,"partially"
"5793","mu","18",-0.11967770874655,0.5,25,30,0.4432,"partially"
"5794","mu","19",-0.103061150912762,0.26,25,30,0.4432,"partially"
"5795","mu","20",0.0622919796565241,0.17,25,30,0.4432,"partially"
"5796","mu","21",-0.383991928656348,0.49,25,30,0.4432,"partially"
"5797","mu","22",0.141938038440569,0.08,25,30,0.4432,"partially"
"5798","mu","23",-0.218386340366917,0.58,25,30,0.4432,"partially"
"5799","mu","24",0.209090006379328,0.52,25,30,0.4432,"partially"
"5800","mu","25",0.0979400147201438,0.15,25,30,0.4432,"partially"
"5801","lambda","1",0.549139857824836,0.89,25,30,0.416,"partially"
"5802","lambda","2",0.550758858477596,0.38,25,30,0.416,"partially"
"5803","lambda","3",0.513504274819187,0.18,25,30,0.416,"partially"
"5804","lambda","4",0.608212477027756,0.61,25,30,0.416,"partially"
"5805","lambda","5",0.545129853948938,0.12,25,30,0.416,"partially"
"5806","lambda","6",0.797110067148785,0.91,25,30,0.416,"partially"
"5807","lambda","7",0.457942078083968,0.28,25,30,0.416,"partially"
"5808","lambda","8",0.521268745656858,0.3,25,30,0.416,"partially"
"5809","lambda","9",0.724749743959567,0.96,25,30,0.416,"partially"
"5810","lambda","10",0.602752351615199,0.72,25,30,0.416,"partially"
"5811","lambda","11",0.771325459496845,0.95,25,30,0.416,"partially"
"5812","lambda","12",0.453858985248819,0.06,25,30,0.416,"partially"
"5813","lambda","13",0.51687888575751,0.81,25,30,0.416,"partially"
"5814","lambda","14",0.473574458659932,0.18,25,30,0.416,"partially"
"5815","lambda","15",0.546067056044692,0.3,25,30,0.416,"partially"
"5816","lambda","16",0.434456643748266,0.22,25,30,0.416,"partially"
"5817","lambda","17",0.556691752367808,0.36,25,30,0.416,"partially"
"5818","lambda","18",0.545029261199035,0.24,25,30,0.416,"partially"
"5819","lambda","19",0.372638679580432,0.04,25,30,0.416,"partially"
"5820","lambda","20",0.375298680774275,0.25,25,30,0.416,"partially"
"5821","lambda","21",0.51597428749479,0.07,25,30,0.416,"partially"
"5822","lambda","22",0.386472373638587,0.32,25,30,0.416,"partially"
"5823","lambda","23",0.328795559645665,0.53,25,30,0.416,"partially"
"5824","lambda","24",0.422646397695139,0.12,25,30,0.416,"partially"
"5825","lambda","25",0.358625002286746,0.6,25,30,0.416,"partially"
"5826","sigma","1",0.301307102635705,0.92,25,30,0.556,"partially"
"5827","sigma","2",0.190010359404806,0.23,25,30,0.556,"partially"
"5828","sigma","3",0.296607562672903,0.42,25,30,0.556,"partially"
"5829","sigma","4",0.187499058428743,0.37,25,30,0.556,"partially"
"5830","sigma","5",0.382408603538425,0.83,25,30,0.556,"partially"
"5831","sigma","6",0.348087385815283,0.28,25,30,0.556,"partially"
"5832","sigma","7",0.221152889866682,0.2,25,30,0.556,"partially"
"5833","sigma","8",0.108069825867748,0.94,25,30,0.556,"partially"
"5834","sigma","9",0.211473437039084,0.68,25,30,0.556,"partially"
"5835","sigma","10",0.258380484018619,0.55,25,30,0.556,"partially"
"5836","sigma","11",0.129962274640463,0.28,25,30,0.556,"partially"
"5837","sigma","12",0.0766185401387008,0.68,25,30,0.556,"partially"
"5838","sigma","13",0.381254829673759,0.96,25,30,0.556,"partially"
"5839","sigma","14",0.0472202227491014,0.83,25,30,0.556,"partially"
"5840","sigma","15",-0.016108976121827,1,25,30,0.556,"partially"
"5841","sigma","16",0.131985965469342,0.43,25,30,0.556,"partially"
"5842","sigma","17",0.274754207725324,0.89,25,30,0.556,"partially"
"5843","sigma","18",0.0150623155235065,0.11,25,30,0.556,"partially"
"5844","sigma","19",0.0849285438335698,0.11,25,30,0.556,"partially"
"5845","sigma","20",0.317705694040295,0.39,25,30,0.556,"partially"
"5846","sigma","21",0.170848147314517,0.28,25,30,0.556,"partially"
"5847","sigma","22",0.121433438779324,0.69,25,30,0.556,"partially"
"5848","sigma","23",0.34785345973563,0.12,25,30,0.556,"partially"
"5849","sigma","24",0.191599756044157,0.8,25,30,0.556,"partially"
"5850","sigma","25",0.127454122788658,0.91,25,30,0.556,"partially"
"5851","mu","1",0.313671671271165,1,25,35,0.9744,"pooled"
"5852","mu","2",-0.498112030771815,1,25,35,0.9744,"pooled"
"5853","mu","3",-0.0842910714760762,1,25,35,0.9744,"pooled"
"5854","mu","4",0.0960147025744304,1,25,35,0.9744,"pooled"
"5855","mu","5",0.110735833205495,1,25,35,0.9744,"pooled"
"5856","mu","6",-0.294570628781325,1,25,35,0.9744,"pooled"
"5857","mu","7",0.162030233750351,1,25,35,0.9744,"pooled"
"5858","mu","8",0.164570576195921,1,25,35,0.9744,"pooled"
"5859","mu","9",0.0728855820083222,1,25,35,0.9744,"pooled"
"5860","mu","10",0.0732764351233678,1,25,35,0.9744,"pooled"
"5861","mu","11",0.0325737947675647,0.76,25,35,0.9744,"pooled"
"5862","mu","12",0.109850020466239,1,25,35,0.9744,"pooled"
"5863","mu","13",0.0243638561456931,0.61,25,35,0.9744,"pooled"
"5864","mu","14",-0.334132343176516,1,25,35,0.9744,"pooled"
"5865","mu","15",0.136513562336124,1,25,35,0.9744,"pooled"
"5866","mu","16",-0.125660404353016,1,25,35,0.9744,"pooled"
"5867","mu","17",0.455836673969612,1,25,35,0.9744,"pooled"
"5868","mu","18",-0.11967770874655,1,25,35,0.9744,"pooled"
"5869","mu","19",-0.103061150912762,1,25,35,0.9744,"pooled"
"5870","mu","20",0.0622919796565241,0.99,25,35,0.9744,"pooled"
"5871","mu","21",-0.383991928656348,1,25,35,0.9744,"pooled"
"5872","mu","22",0.141938038440569,1,25,35,0.9744,"pooled"
"5873","mu","23",-0.218386340366917,1,25,35,0.9744,"pooled"
"5874","mu","24",0.209090006379328,1,25,35,0.9744,"pooled"
"5875","mu","25",0.0979400147201438,1,25,35,0.9744,"pooled"
"5876","lambda","1",0.549139857824836,1,25,35,1,"pooled"
"5877","lambda","2",0.550758858477596,1,25,35,1,"pooled"
"5878","lambda","3",0.513504274819187,1,25,35,1,"pooled"
"5879","lambda","4",0.608212477027756,1,25,35,1,"pooled"
"5880","lambda","5",0.545129853948938,1,25,35,1,"pooled"
"5881","lambda","6",0.797110067148785,1,25,35,1,"pooled"
"5882","lambda","7",0.457942078083968,1,25,35,1,"pooled"
"5883","lambda","8",0.521268745656858,1,25,35,1,"pooled"
"5884","lambda","9",0.724749743959567,1,25,35,1,"pooled"
"5885","lambda","10",0.602752351615199,1,25,35,1,"pooled"
"5886","lambda","11",0.771325459496845,1,25,35,1,"pooled"
"5887","lambda","12",0.453858985248819,1,25,35,1,"pooled"
"5888","lambda","13",0.51687888575751,1,25,35,1,"pooled"
"5889","lambda","14",0.473574458659932,1,25,35,1,"pooled"
"5890","lambda","15",0.546067056044692,1,25,35,1,"pooled"
"5891","lambda","16",0.434456643748266,1,25,35,1,"pooled"
"5892","lambda","17",0.556691752367808,1,25,35,1,"pooled"
"5893","lambda","18",0.545029261199035,1,25,35,1,"pooled"
"5894","lambda","19",0.372638679580432,1,25,35,1,"pooled"
"5895","lambda","20",0.375298680774275,1,25,35,1,"pooled"
"5896","lambda","21",0.51597428749479,1,25,35,1,"pooled"
"5897","lambda","22",0.386472373638587,1,25,35,1,"pooled"
"5898","lambda","23",0.328795559645665,1,25,35,1,"pooled"
"5899","lambda","24",0.422646397695139,1,25,35,1,"pooled"
"5900","lambda","25",0.358625002286746,1,25,35,1,"pooled"
"5901","sigma","1",0.301307102635705,1,25,35,0.9168,"pooled"
"5902","sigma","2",0.190010359404806,1,25,35,0.9168,"pooled"
"5903","sigma","3",0.296607562672903,1,25,35,0.9168,"pooled"
"5904","sigma","4",0.187499058428743,1,25,35,0.9168,"pooled"
"5905","sigma","5",0.382408603538425,1,25,35,0.9168,"pooled"
"5906","sigma","6",0.348087385815283,1,25,35,0.9168,"pooled"
"5907","sigma","7",0.221152889866682,1,25,35,0.9168,"pooled"
"5908","sigma","8",0.108069825867748,0.87,25,35,0.9168,"pooled"
"5909","sigma","9",0.211473437039084,1,25,35,0.9168,"pooled"
"5910","sigma","10",0.258380484018619,1,25,35,0.9168,"pooled"
"5911","sigma","11",0.129962274640463,0.69,25,35,0.9168,"pooled"
"5912","sigma","12",0.0766185401387008,1,25,35,0.9168,"pooled"
"5913","sigma","13",0.381254829673759,1,25,35,0.9168,"pooled"
"5914","sigma","14",0.0472202227491014,1,25,35,0.9168,"pooled"
"5915","sigma","15",-0.016108976121827,1,25,35,0.9168,"pooled"
"5916","sigma","16",0.131985965469342,0.8,25,35,0.9168,"pooled"
"5917","sigma","17",0.274754207725324,1,25,35,0.9168,"pooled"
"5918","sigma","18",0.0150623155235065,1,25,35,0.9168,"pooled"
"5919","sigma","19",0.0849285438335698,1,25,35,0.9168,"pooled"
"5920","sigma","20",0.317705694040295,1,25,35,0.9168,"pooled"
"5921","sigma","21",0.170848147314517,1,25,35,0.9168,"pooled"
"5922","sigma","22",0.121433438779324,0.03,25,35,0.9168,"pooled"
"5923","sigma","23",0.34785345973563,1,25,35,0.9168,"pooled"
"5924","sigma","24",0.191599756044157,1,25,35,0.9168,"pooled"
"5925","sigma","25",0.127454122788658,0.53,25,35,0.9168,"pooled"
"5926","mu","1",0.313671671271165,0.07,25,35,0.5616,"non_pooled"
"5927","mu","2",-0.498112030771815,0.8,25,35,0.5616,"non_pooled"
"5928","mu","3",-0.0842910714760762,0.71,25,35,0.5616,"non_pooled"
"5929","mu","4",0.0960147025744304,0.98,25,35,0.5616,"non_pooled"
"5930","mu","5",0.110735833205495,0.03,25,35,0.5616,"non_pooled"
"5931","mu","6",-0.294570628781325,0.03,25,35,0.5616,"non_pooled"
"5932","mu","7",0.162030233750351,0.8,25,35,0.5616,"non_pooled"
"5933","mu","8",0.164570576195921,0.73,25,35,0.5616,"non_pooled"
"5934","mu","9",0.0728855820083222,0.3,25,35,0.5616,"non_pooled"
"5935","mu","10",0.0732764351233678,0.15,25,35,0.5616,"non_pooled"
"5936","mu","11",0.0325737947675647,0.66,25,35,0.5616,"non_pooled"
"5937","mu","12",0.109850020466239,0.21,25,35,0.5616,"non_pooled"
"5938","mu","13",0.0243638561456931,0.71,25,35,0.5616,"non_pooled"
"5939","mu","14",-0.334132343176516,0.83,25,35,0.5616,"non_pooled"
"5940","mu","15",0.136513562336124,0.91,25,35,0.5616,"non_pooled"
"5941","mu","16",-0.125660404353016,0.96,25,35,0.5616,"non_pooled"
"5942","mu","17",0.455836673969612,1,25,35,0.5616,"non_pooled"
"5943","mu","18",-0.11967770874655,0.87,25,35,0.5616,"non_pooled"
"5944","mu","19",-0.103061150912762,0.23,25,35,0.5616,"non_pooled"
"5945","mu","20",0.0622919796565241,0.9,25,35,0.5616,"non_pooled"
"5946","mu","21",-0.383991928656348,0.14,25,35,0.5616,"non_pooled"
"5947","mu","22",0.141938038440569,0.67,25,35,0.5616,"non_pooled"
"5948","mu","23",-0.218386340366917,0.93,25,35,0.5616,"non_pooled"
"5949","mu","24",0.209090006379328,0.34,25,35,0.5616,"non_pooled"
"5950","mu","25",0.0979400147201438,0.08,25,35,0.5616,"non_pooled"
"5951","lambda","1",0.549139857824836,0.58,25,35,0.4084,"non_pooled"
"5952","lambda","2",0.550758858477596,0.52,25,35,0.4084,"non_pooled"
"5953","lambda","3",0.513504274819187,0.07,25,35,0.4084,"non_pooled"
"5954","lambda","4",0.608212477027756,0.4,25,35,0.4084,"non_pooled"
"5955","lambda","5",0.545129853948938,0.29,25,35,0.4084,"non_pooled"
"5956","lambda","6",0.797110067148785,0.17,25,35,0.4084,"non_pooled"
"5957","lambda","7",0.457942078083968,0.22,25,35,0.4084,"non_pooled"
"5958","lambda","8",0.521268745656858,0.21,25,35,0.4084,"non_pooled"
"5959","lambda","9",0.724749743959567,0.28,25,35,0.4084,"non_pooled"
"5960","lambda","10",0.602752351615199,0.43,25,35,0.4084,"non_pooled"
"5961","lambda","11",0.771325459496845,0.25,25,35,0.4084,"non_pooled"
"5962","lambda","12",0.453858985248819,0.3,25,35,0.4084,"non_pooled"
"5963","lambda","13",0.51687888575751,0.17,25,35,0.4084,"non_pooled"
"5964","lambda","14",0.473574458659932,0.63,25,35,0.4084,"non_pooled"
"5965","lambda","15",0.546067056044692,0.86,25,35,0.4084,"non_pooled"
"5966","lambda","16",0.434456643748266,0.65,25,35,0.4084,"non_pooled"
"5967","lambda","17",0.556691752367808,0.34,25,35,0.4084,"non_pooled"
"5968","lambda","18",0.545029261199035,0.22,25,35,0.4084,"non_pooled"
"5969","lambda","19",0.372638679580432,0.21,25,35,0.4084,"non_pooled"
"5970","lambda","20",0.375298680774275,0.04,25,35,0.4084,"non_pooled"
"5971","lambda","21",0.51597428749479,0.23,25,35,0.4084,"non_pooled"
"5972","lambda","22",0.386472373638587,0.96,25,35,0.4084,"non_pooled"
"5973","lambda","23",0.328795559645665,0.81,25,35,0.4084,"non_pooled"
"5974","lambda","24",0.422646397695139,0.76,25,35,0.4084,"non_pooled"
"5975","lambda","25",0.358625002286746,0.61,25,35,0.4084,"non_pooled"
"5976","sigma","1",0.301307102635705,0.93,25,35,0.5412,"non_pooled"
"5977","sigma","2",0.190010359404806,0.15,25,35,0.5412,"non_pooled"
"5978","sigma","3",0.296607562672903,0.68,25,35,0.5412,"non_pooled"
"5979","sigma","4",0.187499058428743,0.17,25,35,0.5412,"non_pooled"
"5980","sigma","5",0.382408603538425,0.86,25,35,0.5412,"non_pooled"
"5981","sigma","6",0.348087385815283,0.77,25,35,0.5412,"non_pooled"
"5982","sigma","7",0.221152889866682,0.03,25,35,0.5412,"non_pooled"
"5983","sigma","8",0.108069825867748,0.42,25,35,0.5412,"non_pooled"
"5984","sigma","9",0.211473437039084,0.36,25,35,0.5412,"non_pooled"
"5985","sigma","10",0.258380484018619,0.44,25,35,0.5412,"non_pooled"
"5986","sigma","11",0.129962274640463,0.09,25,35,0.5412,"non_pooled"
"5987","sigma","12",0.0766185401387008,0.79,25,35,0.5412,"non_pooled"
"5988","sigma","13",0.381254829673759,0.69,25,35,0.5412,"non_pooled"
"5989","sigma","14",0.0472202227491014,0.55,25,35,0.5412,"non_pooled"
"5990","sigma","15",-0.016108976121827,1,25,35,0.5412,"non_pooled"
"5991","sigma","16",0.131985965469342,0.46,25,35,0.5412,"non_pooled"
"5992","sigma","17",0.274754207725324,0.86,25,35,0.5412,"non_pooled"
"5993","sigma","18",0.0150623155235065,0.14,25,35,0.5412,"non_pooled"
"5994","sigma","19",0.0849285438335698,0.77,25,35,0.5412,"non_pooled"
"5995","sigma","20",0.317705694040295,0.53,25,35,0.5412,"non_pooled"
"5996","sigma","21",0.170848147314517,0.97,25,35,0.5412,"non_pooled"
"5997","sigma","22",0.121433438779324,0.02,25,35,0.5412,"non_pooled"
"5998","sigma","23",0.34785345973563,0.74,25,35,0.5412,"non_pooled"
"5999","sigma","24",0.191599756044157,0.57,25,35,0.5412,"non_pooled"
"6000","sigma","25",0.127454122788658,0.54,25,35,0.5412,"non_pooled"
"6001","mu","1",0.313671671271165,0.25,25,35,0.5684,"partially"
"6002","mu","2",-0.498112030771815,0.35,25,35,0.5684,"partially"
"6003","mu","3",-0.0842910714760762,0.73,25,35,0.5684,"partially"
"6004","mu","4",0.0960147025744304,0.9,25,35,0.5684,"partially"
"6005","mu","5",0.110735833205495,0.22,25,35,0.5684,"partially"
"6006","mu","6",-0.294570628781325,0.48,25,35,0.5684,"partially"
"6007","mu","7",0.162030233750351,0.83,25,35,0.5684,"partially"
"6008","mu","8",0.164570576195921,0.73,25,35,0.5684,"partially"
"6009","mu","9",0.0728855820083222,0.23,25,35,0.5684,"partially"
"6010","mu","10",0.0732764351233678,0.01,25,35,0.5684,"partially"
"6011","mu","11",0.0325737947675647,0.6,25,35,0.5684,"partially"
"6012","mu","12",0.109850020466239,0.26,25,35,0.5684,"partially"
"6013","mu","13",0.0243638561456931,0.64,25,35,0.5684,"partially"
"6014","mu","14",-0.334132343176516,0.82,25,35,0.5684,"partially"
"6015","mu","15",0.136513562336124,0.87,25,35,0.5684,"partially"
"6016","mu","16",-0.125660404353016,0.87,25,35,0.5684,"partially"
"6017","mu","17",0.455836673969612,1,25,35,0.5684,"partially"
"6018","mu","18",-0.11967770874655,0.84,25,35,0.5684,"partially"
"6019","mu","19",-0.103061150912762,0.12,25,35,0.5684,"partially"
"6020","mu","20",0.0622919796565241,0.78,25,35,0.5684,"partially"
"6021","mu","21",-0.383991928656348,0.43,25,35,0.5684,"partially"
"6022","mu","22",0.141938038440569,0.64,25,35,0.5684,"partially"
"6023","mu","23",-0.218386340366917,0.96,25,35,0.5684,"partially"
"6024","mu","24",0.209090006379328,0.51,25,35,0.5684,"partially"
"6025","mu","25",0.0979400147201438,0.14,25,35,0.5684,"partially"
"6026","lambda","1",0.549139857824836,0.8,25,35,0.4624,"partially"
"6027","lambda","2",0.550758858477596,0.28,25,35,0.4624,"partially"
"6028","lambda","3",0.513504274819187,0.58,25,35,0.4624,"partially"
"6029","lambda","4",0.608212477027756,0.41,25,35,0.4624,"partially"
"6030","lambda","5",0.545129853948938,0.74,25,35,0.4624,"partially"
"6031","lambda","6",0.797110067148785,0.88,25,35,0.4624,"partially"
"6032","lambda","7",0.457942078083968,0.24,25,35,0.4624,"partially"
"6033","lambda","8",0.521268745656858,0.34,25,35,0.4624,"partially"
"6034","lambda","9",0.724749743959567,0.56,25,35,0.4624,"partially"
"6035","lambda","10",0.602752351615199,0.47,25,35,0.4624,"partially"
"6036","lambda","11",0.771325459496845,0.58,25,35,0.4624,"partially"
"6037","lambda","12",0.453858985248819,0.1,25,35,0.4624,"partially"
"6038","lambda","13",0.51687888575751,0.67,25,35,0.4624,"partially"
"6039","lambda","14",0.473574458659932,0.18,25,35,0.4624,"partially"
"6040","lambda","15",0.546067056044692,0.34,25,35,0.4624,"partially"
"6041","lambda","16",0.434456643748266,0.24,25,35,0.4624,"partially"
"6042","lambda","17",0.556691752367808,0.42,25,35,0.4624,"partially"
"6043","lambda","18",0.545029261199035,0.62,25,35,0.4624,"partially"
"6044","lambda","19",0.372638679580432,0.15,25,35,0.4624,"partially"
"6045","lambda","20",0.375298680774275,0.15,25,35,0.4624,"partially"
"6046","lambda","21",0.51597428749479,0.46,25,35,0.4624,"partially"
"6047","lambda","22",0.386472373638587,0.75,25,35,0.4624,"partially"
"6048","lambda","23",0.328795559645665,0.67,25,35,0.4624,"partially"
"6049","lambda","24",0.422646397695139,0.41,25,35,0.4624,"partially"
"6050","lambda","25",0.358625002286746,0.52,25,35,0.4624,"partially"
"6051","sigma","1",0.301307102635705,0.98,25,35,0.5508,"partially"
"6052","sigma","2",0.190010359404806,0.06,25,35,0.5508,"partially"
"6053","sigma","3",0.296607562672903,0.93,25,35,0.5508,"partially"
"6054","sigma","4",0.187499058428743,0.09,25,35,0.5508,"partially"
"6055","sigma","5",0.382408603538425,0.99,25,35,0.5508,"partially"
"6056","sigma","6",0.348087385815283,0.55,25,35,0.5508,"partially"
"6057","sigma","7",0.221152889866682,0.31,25,35,0.5508,"partially"
"6058","sigma","8",0.108069825867748,0.45,25,35,0.5508,"partially"
"6059","sigma","9",0.211473437039084,0.59,25,35,0.5508,"partially"
"6060","sigma","10",0.258380484018619,0.26,25,35,0.5508,"partially"
"6061","sigma","11",0.129962274640463,0.06,25,35,0.5508,"partially"
"6062","sigma","12",0.0766185401387008,0.83,25,35,0.5508,"partially"
"6063","sigma","13",0.381254829673759,0.72,25,35,0.5508,"partially"
"6064","sigma","14",0.0472202227491014,0.6,25,35,0.5508,"partially"
"6065","sigma","15",-0.016108976121827,1,25,35,0.5508,"partially"
"6066","sigma","16",0.131985965469342,0.45,25,35,0.5508,"partially"
"6067","sigma","17",0.274754207725324,0.96,25,35,0.5508,"partially"
"6068","sigma","18",0.0150623155235065,0.18,25,35,0.5508,"partially"
"6069","sigma","19",0.0849285438335698,0.85,25,35,0.5508,"partially"
"6070","sigma","20",0.317705694040295,0.51,25,35,0.5508,"partially"
"6071","sigma","21",0.170848147314517,0.86,25,35,0.5508,"partially"
"6072","sigma","22",0.121433438779324,0.05,25,35,0.5508,"partially"
"6073","sigma","23",0.34785345973563,0.59,25,35,0.5508,"partially"
"6074","sigma","24",0.191599756044157,0.33,25,35,0.5508,"partially"
"6075","sigma","25",0.127454122788658,0.57,25,35,0.5508,"partially"
"6076","mu","1",0.313671671271165,1,25,40,0.9852,"pooled"
"6077","mu","2",-0.498112030771815,1,25,40,0.9852,"pooled"
"6078","mu","3",-0.0842910714760762,1,25,40,0.9852,"pooled"
"6079","mu","4",0.0960147025744304,1,25,40,0.9852,"pooled"
"6080","mu","5",0.110735833205495,1,25,40,0.9852,"pooled"
"6081","mu","6",-0.294570628781325,1,25,40,0.9852,"pooled"
"6082","mu","7",0.162030233750351,1,25,40,0.9852,"pooled"
"6083","mu","8",0.164570576195921,1,25,40,0.9852,"pooled"
"6084","mu","9",0.0728855820083222,1,25,40,0.9852,"pooled"
"6085","mu","10",0.0732764351233678,1,25,40,0.9852,"pooled"
"6086","mu","11",0.0325737947675647,0.87,25,40,0.9852,"pooled"
"6087","mu","12",0.109850020466239,1,25,40,0.9852,"pooled"
"6088","mu","13",0.0243638561456931,0.76,25,40,0.9852,"pooled"
"6089","mu","14",-0.334132343176516,1,25,40,0.9852,"pooled"
"6090","mu","15",0.136513562336124,1,25,40,0.9852,"pooled"
"6091","mu","16",-0.125660404353016,1,25,40,0.9852,"pooled"
"6092","mu","17",0.455836673969612,1,25,40,0.9852,"pooled"
"6093","mu","18",-0.11967770874655,1,25,40,0.9852,"pooled"
"6094","mu","19",-0.103061150912762,1,25,40,0.9852,"pooled"
"6095","mu","20",0.0622919796565241,1,25,40,0.9852,"pooled"
"6096","mu","21",-0.383991928656348,1,25,40,0.9852,"pooled"
"6097","mu","22",0.141938038440569,1,25,40,0.9852,"pooled"
"6098","mu","23",-0.218386340366917,1,25,40,0.9852,"pooled"
"6099","mu","24",0.209090006379328,1,25,40,0.9852,"pooled"
"6100","mu","25",0.0979400147201438,1,25,40,0.9852,"pooled"
"6101","lambda","1",0.549139857824836,1,25,40,1,"pooled"
"6102","lambda","2",0.550758858477596,1,25,40,1,"pooled"
"6103","lambda","3",0.513504274819187,1,25,40,1,"pooled"
"6104","lambda","4",0.608212477027756,1,25,40,1,"pooled"
"6105","lambda","5",0.545129853948938,1,25,40,1,"pooled"
"6106","lambda","6",0.797110067148785,1,25,40,1,"pooled"
"6107","lambda","7",0.457942078083968,1,25,40,1,"pooled"
"6108","lambda","8",0.521268745656858,1,25,40,1,"pooled"
"6109","lambda","9",0.724749743959567,1,25,40,1,"pooled"
"6110","lambda","10",0.602752351615199,1,25,40,1,"pooled"
"6111","lambda","11",0.771325459496845,1,25,40,1,"pooled"
"6112","lambda","12",0.453858985248819,1,25,40,1,"pooled"
"6113","lambda","13",0.51687888575751,1,25,40,1,"pooled"
"6114","lambda","14",0.473574458659932,1,25,40,1,"pooled"
"6115","lambda","15",0.546067056044692,1,25,40,1,"pooled"
"6116","lambda","16",0.434456643748266,1,25,40,1,"pooled"
